DATE_ONLY,TIME,CAMPUS,TARGET ROOM,ROOM EXAM CAPACITY,TOTAL_STUDENTS,COURSES MERGED,UTILIZATION
2025-12-17,07g00,CS2,H6-308,76,76,SP1007(76),1.0
2025-12-17,07g00,CS2,H3-201,75,75,SP1007(75),1.0
2025-12-17,07g00,CS2,H3-301,75,75,SP1007(75),1.0
2025-12-17,07g00,CS2,H3-306,75,75,SP1007(75),1.0
2025-12-17,07g00,CS2,H3-401,75,75,SP1007(75),1.0
2025-12-17,07g00,CS2,H3-406,75,75,SP1007(75),1.0
2025-12-17,07g00,CS2,H3-501,75,75,SP1007(75),1.0
2025-12-17,07g00,CS2,H3-506,75,75,SP1007(75),1.0
2025-12-17,07g00,CS2,H1-101,73,73,SP1007(73),1.0
2025-12-17,07g00,CS2,H1-104,73,73,SP1007(73),1.0
2025-12-17,07g00,CS2,H1-307,71,71,SP1007(71),1.0
2025-12-17,07g00,CS2,H2-207,71,71,SP1007(71),1.0
2025-12-17,07g00,CS2,H6-311,71,71,TR4089(71),1.0
2025-12-17,07g00,CS2,H1-204,68,68,TR4089(68),1.0
2025-12-17,07g00,CS2,H6-113,68,68,CI3241(68),1.0
2025-12-17,07g00,CS2,H6-305,68,68,SP1007(68),1.0
2025-12-17,07g00,CS2,H1-401,66,66,EE3043(66),1.0
2025-12-17,07g00,CS2,H1-404,66,66,"EE3069(55), CI3241(11)",1.0
2025-12-17,07g00,CS2,H6-211,66,66,"SP1007(60), TR3017(6)",1.0
2025-12-17,07g00,CS2,H6-412,65,65,"TR3017(51), CI3241(14)",1.0
2025-12-17,07g00,CS2,H3-606,63,63,"CH3321(19), IM4019(18), CH3429(12), MA3011(10), EE3043(4)",1.0
2025-12-17,07g00,CS2,H6-201,63,63,"TR4089(26), MA2015(22), CI3067(15)",1.0
2025-12-17,07g00,CS2,H6-405,63,63,"MA4087(29), CI3241(28), CI3067(6)",1.0
2025-12-17,07g00,CS2,H6-802,63,63,"IU2011(36), ME3171(27)",1.0
2025-12-17,07g00,CS2,H6-810,63,63,"EN3209(42), CH3321(21)",1.0
2025-12-17,07g00,CS2,H1-405,63,16,"ME3171(6), CI3067(5), EE3043(5)",0.25396825396825395
2025-12-17,13g00,CS1,B4-505,63,63,CO2003(63),1.0
2025-12-17,13g00,CS1,B4-406,57,57,CO2003(57),1.0
2025-12-17,13g00,CS1,C6-102,50,50,CH2013(50),1.0
2025-12-17,13g00,CS1,C6-103,50,50,CO2003(50),1.0
2025-12-17,13g00,CS1,B1-208,44,44,EE2417(44),1.0
2025-12-17,13g00,CS1,B1-306,44,44,CO2003(44),1.0
2025-12-17,13g00,CS1,B1-311,42,42,CO1003(42),1.0
2025-12-17,13g00,CS1,B4-305,42,42,CH2013(42),1.0
2025-12-17,13g00,CS1,B4-306,42,42,CO2003(42),1.0
2025-12-17,13g00,CS1,B4-501,42,42,EE2417(42),1.0
2025-12-17,13g00,CS1,B4-502,42,42,EE2417(42),1.0
2025-12-17,13g00,CS1,B6-306,42,42,CO1003(42),1.0
2025-12-17,13g00,CS1,C4-301,42,42,ME2123(42),1.0
2025-12-17,13g00,CS1,C4-304,42,42,CO1003(42),1.0
2025-12-17,13g00,CS1,C4-402,42,42,EE2417(42),1.0
2025-12-17,13g00,CS1,C4-403,42,42,CO2003(42),1.0
2025-12-17,13g00,CS1,C4-502,42,42,CH2013(42),1.0
2025-12-17,13g00,CS1,C5-303,42,42,CO1003(42),1.0
2025-12-17,13g00,CS1,C5-401,42,42,EE2417(42),1.0
2025-12-17,13g00,CS1,C5-403,42,42,CO2003(42),1.0
2025-12-17,13g00,CS1,C5-502,42,42,CH2013(42),1.0
2025-12-17,13g00,CS1,C5-503,42,42,CI2095(42),1.0
2025-12-17,13g00,CS1,C6-401,42,42,CI2095(42),1.0
2025-12-17,13g00,CS1,C6-402,42,42,IM3087(42),1.0
2025-12-17,13g00,CS1,C6-403,42,42,CH2013(42),1.0
2025-12-17,13g00,CS1,B1-212,38,38,"TR3143(27), ME2123(11)",1.0
2025-12-17,13g00,CS1,B1-213,38,38,"CH2013(23), ME3011(15)",1.0
2025-12-17,13g00,CS1,B1-305,38,38,"CO3027(36), TR3143(2)",1.0
2025-12-17,13g00,CS1,B1-308,38,38,"CO2003(25), CI1003(13)",1.0
2025-12-17,13g00,CS1,B10-203,37,37,"IM3087(15), ME2123(15), CI1003(7)",1.0
2025-12-17,13g00,CS1,B8-301,35,35,"CI2095(10), CO1003(10), EE2417(9), ME3011(6)",1.0
