KEY,DATE,TIME,CAMPUS,TARGET ROOM,EXAM CAPACITY,TOTAL STUDENTS,COURSES MERGED,UTILIZATION
03/01/2026_09g30_1,,09g30,CS1,B4-303,32,30,SP1035(30),0.9375
03/01/2026_09g30_1,,09g30,CS1,B4-306,42,30,SP1035(30),0.7142857142857143
03/01/2026_09g30_1,,09g30,CS1,B4-401,32,30,SP1035(30),0.9375
03/01/2026_09g30_1,,09g30,CS1,B4-402,32,30,SP1035(30),0.9375
03/01/2026_09g30_1,,09g30,CS1,B4-403,32,30,SP1035(30),0.9375
03/01/2026_09g30_1,,09g30,CS1,B4-405,32,30,SP1035(30),0.9375
03/01/2026_09g30_1,,09g30,CS1,B4-501,42,30,SP1035(30),0.7142857142857143
03/01/2026_09g30_1,,09g30,CS1,B4-502,42,30,SP1035(30),0.7142857142857143
03/01/2026_09g30_1,,09g30,CS1,B4-504,32,30,SP1035(30),0.9375
03/01/2026_09g30_1,,09g30,CS1,B1-313,30,29,SP1035(29),0.9666666666666667
03/01/2026_09g30_1,,09g30,CS1,B1-314,30,29,SP1035(29),0.9666666666666667
03/01/2026_09g30_1,,09g30,CS1,B1-308,38,23,SP1035(23),0.6052631578947368
03/01/2026_09g30_1,,09g30,CS1,B1-214,25,22,SP1035(22),0.88
03/01/2026_09g30_1,,09g30,CS1,B1-215,25,20,SP1035(20),0.8
03/01/2026_09g30_2,,09g30,CS2,NTD,300,44,SP1035(44),0.14666666666666667
03/01/2026_09g30_2,,09g30,CS2,H6-110,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-112,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-201,63,40,SP1035(40),0.6349206349206349
03/01/2026_09g30_2,,09g30,CS2,H6-205,62,40,SP1035(40),0.6451612903225806
03/01/2026_09g30_2,,09g30,CS2,H6-206,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-208,62,40,SP1035(40),0.6451612903225806
03/01/2026_09g30_2,,09g30,CS2,H6-210,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-211,66,40,SP1035(40),0.6060606060606061
03/01/2026_09g30_2,,09g30,CS2,H6-212,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-213,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-214,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-305,68,40,SP1035(40),0.5882352941176471
03/01/2026_09g30_2,,09g30,CS2,H6-308,76,40,SP1035(40),0.5263157894736842
03/01/2026_09g30_2,,09g30,CS2,H6-310,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-312,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-313,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-405,63,40,SP1035(40),0.6349206349206349
03/01/2026_09g30_2,,09g30,CS2,H6-411,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-412,65,40,SP1035(40),0.6153846153846154
03/01/2026_09g30_2,,09g30,CS2,H6-413,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-414,42,40,SP1035(40),0.9523809523809523
03/01/2026_09g30_2,,09g30,CS2,H6-504,56,40,SP1035(40),0.7142857142857143
03/01/2026_09g30_2,,09g30,CS2,H6-506,55,40,SP1035(40),0.7272727272727273
03/01/2026_09g30_2,,09g30,CS2,H6-510,54,40,SP1035(40),0.7407407407407407
03/01/2026_09g30_2,,09g30,CS2,H6-512,55,40,SP1035(40),0.7272727272727273
03/01/2026_09g30_2,,09g30,CS2,H6-514,57,40,SP1035(40),0.7017543859649122
03/01/2026_09g30_2,,09g30,CS2,H6-516,60,40,SP1035(40),0.6666666666666666
03/01/2026_09g30_2,,09g30,CS2,H6-802,63,40,SP1035(40),0.6349206349206349
03/01/2026_09g30_2,,09g30,CS2,H6-810,63,40,SP1035(40),0.6349206349206349
03/01/2026_09g30_2,,09g30,CS2,H6-811,79,40,SP1035(40),0.5063291139240507
03/01/2026_09g30_2,,09g30,CS2,H1-101,73,39,SP1035(39),0.5342465753424658
03/01/2026_09g30_2,,09g30,CS2,H6-109,42,39,SP1035(39),0.9285714285714286
