COURSE ID,ROOM ID,DATE,TIME,CAMPUS,STUDENTS,CAPACITY,KEY,EXAM CAPACITY
LA1027,B1-313,18/12/25,07g00,1,4,56,18/12/2025_07g00_1,30
MA5023,B1-212,18/12/25,07g00,1,22,72,18/12/2025_07g00_1,38
ME1021,B1-308,18/12/25,07g00,1,29,72,18/12/2025_07g00_1,38
SP1039,B1-210,18/12/25,07g00,1,20,48,18/12/2025_07g00_1,25
SP1039,B1-214,18/12/25,07g00,1,18,48,18/12/2025_07g00_1,25
SP1039,B1-215,18/12/25,07g00,1,16,48,18/12/2025_07g00_1,25
SP1039,B4-301,18/12/25,07g00,1,30,60,18/12/2025_07g00_1,32
SP1039,B4-302,18/12/25,07g00,1,30,60,18/12/2025_07g00_1,32
SP1039,B4-303,18/12/25,07g00,1,30,60,18/12/2025_07g00_1,32
SP1039,B4-305,18/12/25,07g00,1,34,80,18/12/2025_07g00_1,42
SP1039,B4-306,18/12/25,07g00,1,33,80,18/12/2025_07g00_1,42
SP1039,B4-401,18/12/25,07g00,1,30,60,18/12/2025_07g00_1,32
SP1039,B4-402,18/12/25,07g00,1,30,60,18/12/2025_07g00_1,32
SP1039,B4-403,18/12/25,07g00,1,29,60,18/12/2025_07g00_1,32
SP1039,B4-405,18/12/25,07g00,1,30,60,18/12/2025_07g00_1,32
SP1039,B4-406,18/12/25,07g00,1,37,108,18/12/2025_07g00_1,57
SP1039,B4-501,18/12/25,07g00,1,30,80,18/12/2025_07g00_1,42
SP1039,B4-502,18/12/25,07g00,1,30,80,18/12/2025_07g00_1,42
SP1039,B4-504,18/12/25,07g00,1,29,60,18/12/2025_07g00_1,32
SP1039,B4-505,18/12/25,07g00,1,44,120,18/12/2025_07g00_1,63
IM1033,B4-402,18/12/25,09g30,1,30,60,18/12/2025_09g30_1,32
IM1033,B4-403,18/12/25,09g30,1,30,60,18/12/2025_09g30_1,32
IM1033,B4-405,18/12/25,09g30,1,30,60,18/12/2025_09g30_1,32
IM1033,B4-406,18/12/25,09g30,1,38,108,18/12/2025_09g30_1,57
LA3019,B4-303,18/12/25,09g30,1,1,60,18/12/2025_09g30_1,32
AS2059,B6-301,18/12/25,13g00,1,22,50,18/12/2025_13g00_1,26
