KEY,DATE,TIME,CAMPUS,TARGET ROOM,EXAM CAPACITY,TOTAL STUDENTS,COURSES MERGED
04/01/2026_07g00_2,,07g00,CS2,H6-GD,250,250,"CH4115(43), CI4139(42), CH2109(42), GE2069(42), IM1025(42), ME2139(39)"
04/01/2026_07g00_2,,07g00,CS2,H6-811,79,78,"IM3073(42), IU3057(36)"
04/01/2026_07g00_2,,07g00,CS2,H6-205,62,61,"IM1025(41), CI4155(20)"
04/01/2026_07g00_2,,07g00,CS2,H6-512,55,50,"AS2013(40), GE4033(10)"
04/01/2026_07g00_2,,07g00,CS2,H6-504,56,56,"AS2069(40), MA3089(16)"
04/01/2026_07g00_2,,07g00,CS2,H6-506,55,55,"AS2069(40), MA4025(8), MA2011(7)"
04/01/2026_07g00_2,,07g00,CS2,H6-109,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-110,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-112,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-201,63,62,"IM1025(40), CI4147(22)"
04/01/2026_07g00_2,,07g00,CS2,H6-206,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-208,62,60,"IM1025(40), PH2003(20)"
04/01/2026_07g00_2,,07g00,CS2,H6-210,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-211,66,66,"IM1025(40), AS2013(26)"
04/01/2026_07g00_2,,07g00,CS2,H6-212,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-213,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-214,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-305,68,66,"IM1025(40), CI3263(26)"
04/01/2026_07g00_2,,07g00,CS2,H6-306,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-310,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-311,71,70,"IM1025(40), ME4025(30)"
04/01/2026_07g00_2,,07g00,CS2,H6-312,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-313,42,40,IM1025(40)
04/01/2026_07g00_2,,07g00,CS2,H6-810,63,59,"IM3073(40), CI3259(19)"
04/01/2026_07g00_2,,07g00,CS2,H6-413,42,40,ME4025(40)
04/01/2026_07g00_2,,07g00,CS2,H2-201,82,79,"PH2003(40), ME4025(39)"
04/01/2026_07g00_2,,07g00,CS2,H6-414,42,39,ME4025(39)
04/01/2026_07g00_2,,07g00,CS2,H6-405,63,62,"IM1025(38), ME2139(24)"
04/01/2026_07g00_2,,07g00,CS2,H6-411,42,30,IM1025(30)
