F_MAMH,F_TENPHMOI,NGAYTHI,GIOTHI_BD,COSO,F_SOLUONG,SUC_CHUA,KEY_CA
SP1031,B4-306,46010,09g30,1,30,80,19/12/2025_09g30_1
SP1031,B4-401,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B4-402,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B4-403,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B4-405,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B4-406,46010,09g30,1,39,108,19/12/2025_09g30_1
SP1031,B4-501,46010,09g30,1,30,80,19/12/2025_09g30_1
SP1031,B4-502,46010,09g30,1,30,80,19/12/2025_09g30_1
SP1031,B4-504,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B4-505,46010,09g30,1,45,120,19/12/2025_09g30_1
SP1031,B6-302,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B6-303,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B6-304,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B6-305,46010,09g30,1,30,60,19/12/2025_09g30_1
SP1031,B6-306,46010,09g30,1,30,80,19/12/2025_09g30_1
SP1031,B8-301,46010,09g30,1,30,66,19/12/2025_09g30_1
SP1031,B8-303,46010,09g30,1,30,62,19/12/2025_09g30_1
SP1031,B8-304,46010,09g30,1,30,62,19/12/2025_09g30_1
SP1031,C6-401,46010,09g30,1,30,80,19/12/2025_09g30_1
SP1031,C6-402,46010,09g30,1,30,80,19/12/2025_09g30_1
TR3137,B8-302,46010,09g30,1,6,40,19/12/2025_09g30_1
